278113  278  113    1    0    1    0    0.000000    0.827000
  1   0.000000  -1.0  0   2.30E-03  0                            1 ~    100.0000 %A                                                                                                                                                                                                             0.000000       
282113  282  113    1    0    1    0    6.029000    1.768000
  1   0.000000  -1.0  0   1.40E-01  0                            1 =    100.0000 %A                                                                                                                                                                                                             0.000000       
283113  283  113    1    0    1    0    7.235000    1.631000
  1   0.000000  -1.0  0   3.80E-01  0                            1 =    100.0000 %A                                                                                                                                                                                                             0.000000       
284113  284  113    1    0    1    0    6.063000    2.206000
  1   0.000000  -1.0  0   1.01E+00  0                            1 =    100.0000 %A                                                                                                                                                                                                             0.000000       
285113  285  113    1    0    1    0    7.140000    2.099000
  1   0.000000  -1.0  0   8.00E+00  0                            1 =    100.0000 %A                                                                                                                                                                                                             0.000000       
286113  286  113    1    0    1    0    5.761000    2.547000
  1   0.000000  -1.0  0   7.00E+01  0                            1 =    100.0000 %A                                                                                                                                                                                                             0.000000       
