  1H     1    1    1    0    1    1    0.000000    0.000000
  1   0.000000   0.5  1  -1.00E+00  0                      1/2+  0                                                                                                                                                                                                                              0.000000       
  2H     2    1    1    0    1    1    2.224570    2.224570
  1   0.000000   1.0  1  -1.00E+00  0                        1+  0                                                                                                                                                                                                                              0.000000       
  3H     3    1    1    0    1    1    6.257230    0.000000
  1   0.000000   0.5  1   3.89E+08  0                      1/2+  1 =    100.0000 %B-                                                                                                                                                                                                            0.000000       
  4H     4    1    4    0    1    4   -1.600000    0.000000
  1   0.000000   2.0 -1   1.39E-22  0                        2-  1 =    100.0000 %N                                                                                                                                                                                                             0.000000       
  2   0.310000   1.0 -1   6.78E-23  0                        1-  1 =    100.0000 %N                                                                                                                                                                                                             0.000000       
  3   2.080000   0.0 -1   5.11E-23  0                        0-  1 =    100.0000 %N                                                                                                                                                                                                             0.000000       
  4   2.830000   1.0 -1   3.51E-23  0                        1-  1 =    100.0000 %N                                                                                                                                                                                                             0.000000       
  5H     5    1    1    0    1    0   -0.200000    0.000000
  1   0.000000   0.5  1   9.10E-22  0                    (1/2+)  1 =    100.0000 %2N                                                                                                                                                                                                            0.000000       
  6H     6    1    1    0    1    1   -0.911960    0.000000
  1   0.000000   2.0 -1   2.90E-22  0                       2-#  2        0.0000 %3N            0.0000 %N                                                                                                                                                                                       0.000000       
