285Fl  285  114    1    0    1    0    0.000000    2.710000
  1   0.000000  -1.0  0   4.70E-01  0                            2 ~    100.0000 %A             0.0000 %SF                                                                                                                                                                                      0.000000       
286Fl  286  114    1    0    1    1    7.520000    3.090000
  1   0.000000   0.0  1   1.40E-01  0                        0+  2 ~     40.0000 %A      ~     60.0000 %SF                                                                                                                                                                                      0.000000       
287Fl  287  114    1    0    1    0    5.698000    3.028000
  1   0.000000  -1.0  0   5.20E-01  0                            1 =    100.0000 %A                                                                                                                                                                                                             0.000000       
288Fl  288  114    1    0    1    1    7.336000    3.392000
  1   0.000000   0.0  1   7.50E-01  0                        0+  1 =    100.0000 %A                                                                                                                                                                                                             0.000000       
289Fl  289  114    1    0    1    1    5.419000    0.000000
  1   0.000000   2.5  1   2.40E+00  0                     5/2+#  1 =    100.0000 %A                                                                                                                                                                                                             0.000000       
