266Mt  266  109    1    0    1    0    6.787000    0.227000
  1   0.000000  -1.0  0   1.20E-03  0   X                        2 =      0.0000 %A      <      5.5000 %SF                                                                                                                                                                                      0.000000       
267Mt  267  109    1    0    1    0    8.244000    0.636000
  1   0.000000  -1.0  0   1.00E-02  0                            1        0.0000 %A                                                                                                                                                                                                             0.000000       
268Mt  268  109    1    0    1    0    6.712000    0.791000
  1   0.000000  -1.0  0   2.70E-02  0   X               5+#;6+#  1 =    100.0000 %A                                                                                                                                                                                                             0.000000       
269Mt  269  109    1    0    1    0    7.910000    0.809000
  1   0.000000  -1.0  0   1.00E-01  0                            1        0.0000 %A                                                                                                                                                                                                             0.000000       
270Mt  270  109    1    0    1    0    6.669000    1.165000
  1   0.000000  -1.0  0   6.30E-03  0   X                        1 ~    100.0000 %A                                                                                                                                                                                                             0.000000       
271Mt  271  109    1    0    1    0    7.684000    1.277000
  1   0.000000  -1.0  0   4.00E-01  0                            1        0.0000 %A                                                                                                                                                                                                             0.000000       
273Mt  273  109    1    0    1    0    7.147000    1.789000
  1   0.000000  -1.0  0   8.00E-01  0                            2        0.0000 %A             0.0000 %SF                                                                                                                                                                                      0.000000       
274Mt  274  109    1    0    1    0    5.420000    2.104000
  1   0.000000  -1.0  0   8.50E-01  0   X                        1 =    100.0000 %A                                                                                                                                                                                                             0.000000       
275Mt  275  109    1    0    1    0    6.604000    2.150000
  1   0.000000  -1.0  0   4.00E-02  0   X                        1 =    100.0000 %A                                                                                                                                                                                                             0.000000       
276Mt  276  109    1    0    1    0    5.488000    2.701000
  1   0.000000  -1.0  0   7.30E-01  0   X                        1 =    100.0000 %A                                                                                                                                                                                                             0.000000       
277Mt  277  109    1    0    1    0    6.512000    2.806000
  1   0.000000  -1.0  0   1.00E+01  0                            2        0.0000 %A             0.0000 %SF                                                                                                                                                                                      0.000000       
278Mt  278  109    1    0    1    0    5.241000    3.183000
  1   0.000000  -1.0  0   2.90E+01  0   X                        1 =    100.0000 %A                                                                                                                                                                                                             0.000000       
