267Ds  267  110    1    0    1    1    0.000000    1.333000
  1   0.000000   4.5  1   1.00E-05  0   X                 9/2+#  1 =    100.0000 %A                                                                                                                                                                                                             0.000000       
269Ds  269  110    1    0    1    1    6.884000    1.604000
  1   0.000000   4.5  1   2.30E-04  0   X                 9/2+#  1 =    100.0000 %A                                                                                                                                                                                                             0.000000       
270Ds  270  110    2    0    1    1    8.227780    1.921000
  1   0.000000   0.0  1   2.05E-04  0                        0+  2 ~    100.0000 %A      <      0.2000 %SF                                                                                                                                                                                      0.000000       
  2   1.130000  -1.0  0   6.00E-03  0                            2 >     70.0000 %A      <=    30.0000 %IT                                                                                                                                                                                      0.000000       
271Ds  271  110    2    0    1    1    6.803000    2.056000
  1   0.000000   6.5 -1   9.00E-02  0                    13/2-#  1 =    100.0000 %A                                                                                                                                                                                                             0.000000       
  2   0.068000  -1.0  0   1.63E-03  0                            1 ~    100.0000 %A                                                                                                                                                                                                             0.000000       
272Ds  272  110    1    0    1    1    8.002000    2.374000
  1   0.000000   0.0  1   2.00E-01  0                        0+  1        0.0000 %SF                                                                                                                                                                                                            0.000000       
273Ds  273  110    2    0    1    1    5.705000    2.488000
  1   0.000000   6.5 -1   2.40E-04  0                    13/2-#  1 =    100.0000 %A                                                                                                                                                                                                             0.000000       
  2   0.283000  -1.0  0  -1.00E+00  0                            0                                                                                                                                                                                                                              0.000000       
274Ds  274  110    1    0    1    1    7.279000    2.621000
  1   0.000000   0.0  1   1.00E-02  0                        0+  2        0.0000 %A             0.0000 %SF                                                                                                                                                                                      0.000000       
277Ds  277  110    1    0    1    1    5.380000    3.265000
  1   0.000000   5.5  1   2.20E-02  0                    11/2+#  2 ~    100.0000 %A             0.0000 %SF                                                                                                                                                                                      0.000000       
278Ds  278  110    1    0    1    1    7.023000    3.776000
  1   0.000000   0.0  1   2.70E-01  0                        0+  2        0.0000 %A             0.0000 %SF                                                                                                                                                                                      0.000000       
279Ds  279  110    4    0    1    0    5.223000    3.758000
  1   0.000000  -1.0  0   2.10E-01  0   X                        2 =     10.0000 %A      =     90.0000 %SF                                                                                                                                                                                      0.000000       
  2   2.700000  -1.0  0  -1.00E+00  0   X                        0                                                                                                                                                                                                                              0.000000       
  3   3.100000  -1.0  0  -1.00E+00  0   X                        0                                                                                                                                                                                                                              0.000000       
  4   6.900000  -1.0  0  -1.00E+00  0   X                        0                                                                                                                                                                                                                              0.000000       
280Ds  280  110    1    0    1    1    6.941000    4.274000
  1   0.000000   0.0  1   1.10E+01  0                        0+  1 =    100.0000 %SF                                                                                                                                                                                                            0.000000       
281Ds  281  110    1    0    1    1    5.091000    0.000000
  1   0.000000   1.5  1   1.40E+01  0   X                 3/2+#  2 =     15.0000 %A      =     85.0000 %SF                                                                                                                                                                                      0.000000       
