90 221 5 2 4.83 0.62 7.62 0.28 7.57 0.39 2.26 0.56 6.85 0.18
90 222 5 2 4.54 0.66 7.16 0.28 7.58 0.41 1.96 0.56 6.32 0.23
90 223 5 2 4.10 0.63 6.66 0.24 7.06 0.37 1.64 0.55 5.83 0.22
90 227 5 2 3.82 0.60 6.48 0.27 6.67 0.16 1.92 0.32 5.41 0.15
90 228 5 2 4.02 0.62 6.55 0.32 6.25 0.11 2.10 0.39 5.52 0.18
90 229 5 2 4.27 0.61 6.49 0.51 5.65 0.17 1.79 0.50 5.13 0.27
90 230 5 2 4.23 0.54 7.00 0.52 5.51 0.10 1.85 0.46 5.27 0.23
90 231 5 2 4.27 0.61 6.49 0.51 5.65 0.17 1.79 0.50 5.13 0.27
90 232 5 2 4.86 0.59 6.88 0.45 5.72 0.13 1.68 0.53 5.38 0.13
90 233 5 2 5.02 0.61 7.06 0.53 5.51 0.23 1.74 0.47 5.13 0.26
90 234 5 2 5.21 0.64 7.00 0.46 5.81 0.20 1.55 0.54 5.17 0.22
91 230 5 2 3.67 0.58 5.73 0.33 5.32 0.27 1.62 0.49 3.97 0.16
91 231 5 2 4.26 0.61 5.97 0.48 4.00 0.09 1.70 0.47 3.86 0.05
91 232 5 2 4.25 0.64 6.03 0.45 4.44 0.04 1.56 0.52 3.66 0.10
91 233 3 1 4.73 0.65 6.28 0.37 1.41 0.54
91 234 5 2 4.25 0.64 6.03 0.45 4.44 0.04 1.56 0.52 3.66 0.10
92 231 5 2 3.69 0.55 5.13 0.28 2.58 0.30 1.62 0.45 2.15 0.13
92 232 5 2 4.34 0.62 5.52 0.33 2.60 0.23 1.84 0.47 2.48 0.06
92 233 3 1 3.93 0.64 5.11 0.49 1.23 0.47
92 234 5 2 5.04 0.66 5.97 0.45 2.27 0.28 1.72 0.52 2.13 0.17
92 235 3 1 5.39 0.68 6.27 0.48 1.97 0.48
92 236 3 1 5.52 0.63 6.03 0.40 1.64 0.52
92 237 5 2 5.55 0.61 6.41 0.45 4.22 0.19 1.64 0.51 3.72 0.22
92 238 5 2 5.93 0.69 6.48 0.46 3.81 0.14 1.72 0.52 3.61 0.18
92 239 5 2 5.99 0.65 6.54 0.40 3.67 0.09 1.80 0.51 3.32 0.16
92 240 5 2 6.29 0.70 6.95 0.52 3.96 0.20 1.95 0.52 3.36 0.17
93 233 3 1 4.26 0.62 6.45 0.42 2.14 0.54
93 234 3 1 4.09 0.63 4.71 0.46 0.99 0.52
93 235 3 1 5.17 0.65 5.39 0.50 1.57 0.55
93 236 3 1 5.39 0.67 5.54 0.50 1.74 0.47
93 237 3 1 5.70 0.67 5.66 0.46 1.44 0.55
